RAL Code,Calyco Name,Hex Code,Color Family,Tone,Layer,Sheen,Collection,Interior Use,Exterior Use,Mood,Light Reflectance,Undertone,Popularity,Contractor,Designer,Uses
RAL 5021,Teal Blue,#256D7B,Blues,Cool,Editorial,Matte/Satin,Contemporary Blues,"Bathrooms, Feature Walls",Coastal Architecture,"Bold, Refreshing, Modern",22-27%,Teal,High,No,Yes,"Interior, Exterior"
RAL 5018,Aqua Blue,#3F888F,Blues,Cool,Editorial,Satin,Contemporary Blues,"Bathrooms, Kitchens",Pool Areas,"Vibrant, Fresh, Tropical",28-33%,Aqua,Medium,No,Yes,"Interior, Exterior"
RAL 5025,Pearl Teal,#2A6478,Blues,Cool,Editorial,Satin/Pearl,Contemporary Blues,"Feature Walls, Spas",Luxury Buildings,"Elegant, Unique, Premium",20-25%,Teal,Low,No,Yes,"Interior, Exterior"
RAL 5000,Twilight Blue,#354D73,Blues,Cool,Editorial,Matte,Contemporary Blues,"Bedrooms, Media Rooms",Residential Buildings,"Mysterious, Calm, Deep",18-23%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 5026,Midnight Blue,#102C54,Blues,Cool,Editorial,Matte/Satin,Contemporary Blues,"Accent Walls, Theaters",Dramatic Architecture,"Dramatic, Rich, Bold",10-15%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 5011,Monsoon Sky,#1F2A44,Blues,Cool,Signature,Matte/Satin,Heritage Collection,"Living Spaces, Bedrooms",Residential Buildings,"Cultural, Serene, Indian",25-30%,Blue,Medium,No,Yes,"Interior, Exterior"
RAL 5009,Arabian Sea,#025669,Blues,Cool,Signature,Matte/Satin,Heritage Collection,"Feature Walls, Bathrooms",Coastal Properties,"Maritime, Cultural, Bold",22-27%,Teal,Medium,No,Yes,"Interior, Exterior"
RAL 5017,Peacock Blue,#063971,Blues,Cool,Signature,Satin,Heritage Collection,"Feature Walls, Dining",Cultural Buildings,"Vibrant, Regal, Indian",30-35%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 6002,Leaf Green,#2D5016,Greens,Warm,Foundation,Matte,Essential Greens,"Accent Walls, Commercial",Industrial Buildings,"Natural, Fresh, Organic",18-23%,Green,Medium,Yes,Yes,"Interior, Exterior"
RAL 6001,Emerald Green,#287233,Greens,Cool,Foundation,Matte/Satin,Essential Greens,"Feature Walls, Offices",Commercial Buildings,"Rich, Luxurious, Bold",20-25%,Green,Medium,Yes,Yes,"Interior, Exterior"
RAL 6029,Mint Green,#20603D,Greens,Cool,Foundation,Matte,Essential Greens,"Hospitals, Wellness Centers",Healthcare Buildings,"Fresh, Clean, Soothing",22-27%,Green,High,Yes,Yes,"Interior, Exterior"
RAL 6005,Forest Green,#2F4538,Greens,Cool,Foundation,Matte,Essential Greens,"Libraries, Studies",Traditional Architecture,"Deep, Rich, Classic",15-20%,Green,Low,Yes,Yes,"Interior, Exterior"
RAL 6009,Pine Green,#31372B,Greens,Cool,Foundation,Matte,Essential Greens,"Accent Walls, Dens",Rustic Buildings,"Dark, Natural, Grounded",12-17%,Green,Low,Yes,No,"Interior, Exterior"
RAL 6028,Deep Pine,#2C5545,Greens,Cool,Foundation,Matte,Essential Greens,"Feature Walls, Commercial",Traditional Buildings,"Strong, Deep, Natural",15-20%,Green,Low,Yes,Yes,"Interior, Exterior"
RAL 6019,Pastel Green,#BDECB6,Greens,Cool,Editorial,Matte,Contemporary Greens,"Bedrooms, Nurseries",Residential Buildings,"Soft, Gentle, Calming",75-80%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6021,Pale Green,#89AC76,Greens,Warm,Editorial,Matte,Contemporary Greens,"Living Rooms, Kitchens",Residential Buildings,"Fresh, Natural, Inviting",45-50%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6034,Turquoise Green,#7FB5B5,Greens,Cool,Editorial,Matte/Satin,Contemporary Greens,"Bathrooms, Pool Areas",Coastal Properties,"Refreshing, Tropical, Bright",50-55%,Turquoise,High,No,Yes,"Interior, Exterior"
RAL 6027,Light Cyan,#84C3BE,Greens,Cool,Editorial,Satin,Contemporary Greens,"Bathrooms, Spas",Resort Style,"Calm, Spa-like, Serene",52-57%,Cyan,High,No,Yes,"Interior, Exterior"
RAL 6033,Cyan Turquoise,#497E76,Greens,Cool,Editorial,Matte/Satin,Contemporary Greens,"Feature Walls, Bathrooms",Modern Buildings,"Bold, Contemporary, Fresh",30-35%,Turquoise,Medium,No,Yes,"Interior, Exterior"
RAL 6004,Blue Green,#1F3A3D,Greens,Cool,Editorial,Matte,Contemporary Greens,"Accent Walls, Studies",Contemporary Architecture,"Deep, Sophisticated, Modern",12-17%,Teal,Low,No,Yes,"Interior, Exterior"
RAL 6011,Sage Green,#587246,Greens,Warm,Editorial,Matte,Contemporary Greens,"Living Rooms, Bedrooms",Residential Buildings,"Natural, Calming, Organic",30-35%,Green,High,No,Yes,"Interior, Exterior"
RAL 6025,Fern Green,#3D642D,Greens,Warm,Editorial,Matte,Contemporary Greens,"Feature Walls, Offices",Modern Buildings,"Fresh, Vibrant, Natural",25-30%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6018,Lime Green,#57A639,Greens,Warm,Editorial,Matte/Satin,Contemporary Greens,"Accent Walls, Creative Spaces",Bold Architecture,"Energetic, Bold, Fresh",38-43%,Lime,Low,No,Yes,"Interior, Exterior"
RAL 6024,Traffic Green,#308446,Greens,Cool,Editorial,Matte,Contemporary Greens,Commercial Spaces,Industrial Buildings,"Strong, Clear, Professional",32-37%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6032,Signal Green,#317F43,Greens,Cool,Editorial,Matte/Satin,Contemporary Greens,"Signage, Accent Walls",Commercial Buildings,"Bright, Bold, Visible",35-40%,Green,Low,No,Yes,"Interior, Exterior"
RAL 6035,Kerala Palm,#1C542D,Greens,Cool,Signature,Matte,Heritage Collection,"Feature Walls, Traditional Spaces",Heritage Properties,"Tropical, Cultural, Rich",22-27%,Green,Low,No,Yes,"Interior, Exterior"
RAL 6037,Monsoon Leaf,#008F39,Greens,Cool,Signature,Matte/Satin,Heritage Collection,"Living Spaces, Dining",Cultural Buildings,"Lush, Vibrant, Indian",20-25%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6036,Ganges Mint,#193737,Greens,Cool,Signature,Satin,Heritage Collection,"Bathrooms, Meditation Spaces",Wellness Centers,"Serene, Sacred, Peaceful",52-57%,Cyan,Low,No,Yes,"Interior, Exterior"
RAL 1018,Zinc Yellow,#F8F32B,Yellows & Golds,Warm,Foundation,Matte/Satin,Essential Yellows,"Accent Walls, Commercial",Industrial Buildings,"Bright, Energetic, Bold",80-85%,Yellow,Medium,Yes,No,"Interior, Exterior"
RAL 1021,Bright Yellow,#F3DA0B,Yellows & Golds,Warm,Foundation,Matte,Essential Yellows,"Feature Walls, Signage",Commercial Buildings,"Vibrant, Cheerful, Bold",78-83%,Yellow,Medium,Yes,No,"Interior, Exterior"
RAL 1023,Traffic Yellow,#FAD201,Yellows & Golds,Warm,Foundation,Matte,Essential Yellows,Industrial Spaces,Warning Applications,"Clear, Visible, Strong",82-87%,Yellow,Low,Yes,No,"Interior, Exterior"
RAL 1003,Signal Yellow,#E5A316,Yellows & Golds,Warm,Foundation,Matte/Satin,Essential Yellows,"Signage, Commercial",Industrial Buildings,"Bold, Warm, Visible",70-75%,Yellow,Medium,Yes,No,"Interior, Exterior"
RAL 1028,Melon Yellow,#F4A900,Yellows & Golds,Warm,Foundation,Matte,Essential Yellows,"Accent Walls, Kitchens",Residential Buildings,"Warm, Cheerful, Inviting",72-77%,Orange,Medium,Yes,Yes,"Interior, Exterior"
RAL 1017,Saffron Yellow,#F5BD00,Yellows & Golds,Warm,Editorial,Satin,Designer Yellows,"Dining Rooms, Kitchens",Statement Buildings,"Rich, Luxurious, Warm",73-78%,Yellow,High,No,Yes,"Interior, Exterior"
RAL 1032,Broom Yellow,#D6AE01,Yellows & Golds,Warm,Editorial,Satin,Designer Yellows,"Feature Walls, Foyers",Luxury Buildings,"Golden, Elegant, Rich",68-73%,Gold,Medium,No,Yes,"Interior, Exterior"
RAL 1033,Dahlia Yellow,#F3A505,Yellows & Golds,Warm,Editorial,Matte/Satin,Designer Yellows,"Accent Walls, Creative Spaces",Bold Architecture,"Vibrant, Bold, Warm",70-75%,Orange,Low,No,Yes,"Interior, Exterior"
RAL 1037,Sun Yellow,#F39F18,Yellows & Golds,Warm,Editorial,Matte,Designer Yellows,"Children's Rooms, Kitchens",Residential Buildings,"Bright, Cheerful, Sunny",68-73%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 1034,Pastel Yellow,#EFA94A,Yellows & Golds,Warm,Editorial,Matte,Designer Yellows,"Bedrooms, Living Rooms",Residential Buildings,"Soft, Warm, Inviting",65-70%,Peach,Medium,No,Yes,"Interior, Exterior"
RAL 1002,Sand Yellow,#C6A664,Yellows & Golds,Warm,Editorial,Matte,Designer Yellows,"Living Rooms, Bedrooms",Traditional Buildings,"Natural, Warm, Earthy",55-60%,Sand,High,No,Yes,"Interior, Exterior"
RAL 1019,Grey Beige,#9E9764,Yellows & Golds,Warm,Editorial,Matte,Designer Yellows,"Common Areas, Offices",Commercial Buildings,"Subdued, Natural, Neutral",45-50%,Beige,Low,No,Yes,"Interior, Exterior"
RAL 1007,Turmeric Gold,#DC9D00,Yellows & Golds,Warm,Signature,Satin,Heritage Collection,"Dining Rooms, Traditional Spaces",Cultural Buildings,"Rich, Cultural, Spicy",73-78%,Yellow,Medium,No,Yes,"Interior, Exterior"
RAL 1008,Marigold,#E49E00,Yellows & Golds,Warm,Signature,Matte/Satin,Heritage Collection,"Feature Walls, Celebrations",Cultural Buildings,"Vibrant, Festive, Indian",72-77%,Orange,Low,No,Yes,"Interior, Exterior"
RAL 1031,Golden Temple,#E6A747,Yellows & Golds,Warm,Signature,Satin,Heritage Collection,"Feature Walls, Religious Spaces",Heritage Properties,"Sacred, Golden, Magnificent",68-73%,Gold,Low,No,Yes,"Interior, Exterior"
RAL 3000,Flame Red,#AF2B1E,Reds & Pinks,Warm,Foundation,Matte/Satin,Essential Reds,"Accent Walls, Commercial",Industrial Buildings,"Bold, Energetic, Strong",30-35%,Red,Medium,Yes,No,"Interior, Exterior"
RAL 3020,Traffic Red,#CC0605,Reds & Pinks,Warm,Foundation,Matte,Essential Reds,"Signage, Industrial",Safety Applications,"Bright, Visible, Clear",35-40%,Red,Low,Yes,No,"Interior, Exterior"
RAL 3003,Ruby Red,#9B111E,Reds & Pinks,Warm,Foundation,Matte/Satin,Essential Reds,"Feature Walls, Accent Walls",Commercial Buildings,"Deep, Rich, Luxurious",25-30%,Red,Low,Yes,Yes,"Interior, Exterior"
RAL 3004,Purple Red,#75151E,Reds & Pinks,Warm,Foundation,Matte,Essential Reds,"Accent Walls, Dens",Traditional Architecture,"Dark, Bold, Dramatic",18-23%,Purple-Red,Low,Yes,No,"Interior, Exterior"
RAL 3005,Wine Red,#5E2129,Reds & Pinks,Warm,Foundation,Matte/Satin,Essential Reds,"Feature Walls, Libraries",Traditional Buildings,"Elegant, Deep, Sophisticated",15-20%,Burgundy,Low,Yes,Yes,"Interior, Exterior"
RAL 3012,Beige Red,#C1876B,Reds & Pinks,Warm,Editorial,Matte,Designer Reds,"Living Rooms, Bedrooms",Residential Buildings,"Warm, Earthy, Soft",50-55%,Terracotta,Medium,No,Yes,"Interior, Exterior"
RAL 3015,Light Pink,#EA899A,Reds & Pinks,Cool,Editorial,Matte,Designer Reds,"Bedrooms, Nurseries",Residential Buildings,"Soft, Gentle, Romantic",60-65%,Pink,Medium,No,Yes,"Interior, Exterior"
RAL 3014,Old Rose,#D36E70,Reds & Pinks,Warm,Editorial,Matte/Satin,Designer Reds,"Bedrooms, Living Rooms",Residential Buildings,"Classic, Rosy, Warm",55-60%,Rose,Medium,No,Yes,"Interior, Exterior"
RAL 3017,Rose,#E63244,Reds & Pinks,Warm,Editorial,Matte,Designer Reds,"Feature Walls, Creative Spaces",Boutique Buildings,"Vivid, Cheerful, Expressive",45-50%,Red,Low,No,Yes,"Interior, Exterior"
