Code,Name,Hex,Group,Description,Color Family,Rooms,Recommended Use,Color Temperature,Tonality,Interior/Exterior,Color Collection,Style,Opacity
7408,Running Stream,#4682B4,"Violets, Blues and Greens",Cool | Serene | Refreshing,Blues,"Study, Living Room",Accent Walls,Cool,Medium,Interior,Royale,,
7416,Tropical Sea,#008B8B,Blues,,Cyans,,,,,,AP Exterior,,
7419,Caribbean Sky,#87CEEB,"Violets, Blues and Greens",Cool | Serene | Refreshing,Blues,"Bedrooms, Living Room",Primary Walls,Cool,Light,Interior,Royale,,
7444,Sail Boat,#F0F8FF,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
7508,Subtle Green,#90EE90,Greens,,Greens,,,,,,AP Exterior,,
7527,Green Haven,#6B8E23,Greens,,Greens,,,,,,AP Exterior,,
7530,Mint Cocktail,#98FB98,Greens,,Greens,,,,,,AP Exterior,,
7542,Emerald Valley,#50C878,Greens,,Greens,,,,,,AP Exterior,,
7545,Wild Mint,#98FB98,Decor Suggested Combinations,Decor accents,Greens,"Kitchen, Living Room",Accent Walls,Cool,Light,Interior,Royale,,
7547,Mint Crush,#F5FFFA,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
758,Sweet Lime,#32CD32,Greens,,Greens,,,,,,AP Exterior,,
765,Morning Glory,#F8F8FF,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,All Rooms,Primary Walls,Cool,Light,Interior,Royale,,
7665,Crisp Lettuce,#7CFC00,Decor Suggested Combinations,Decor accents,Greens,Children’s Room,Accent Walls,Cool,Light,Interior,Royale,,
7667,Forest Musk,#556B2F,Decor Suggested Combinations,Decor accents,Greens,"Living Room, Bedroom",Accent Walls,Cool,Dark,Interior,Royale,,
7709,Chartreuse,#7FFF00,Greens,,Greens,,,,,,AP Exterior,,
7724,New Green,#32CD32,Greens,,Greens,,,,,,AP Exterior,,
7727,Lime Accent,#ADFF2F,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,Children’s Room,Accent Walls,Cool,Light,Interior,Royale,,
7728,Spring Surprise,#7FFF00,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,Living Room,Accent Walls,Cool,Medium,Interior,Royale,,
7729,Lime Grove,#32CD32,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,"Kitchen, Living Room",Accent Walls,Cool,Medium,Interior,Royale,,
7781,Garland,#228B22,Greens,,Greens,,,,,,AP Exterior,,
7784,Diced Olive,#6B8E23,Greens,,Greens,,,,,,AP Exterior,,
7787,Spring Frolic,#7CFC00,Greens,,Greens,,,,,,AP Exterior,,
7790,Bambi Beige,#F5F5DC,Neutrals,,Beiges,,,,,,AP Exterior,,
7809,Chinese Tea,#228B22,Greens,,Greens,,,,,,AP Exterior,,
7810,Dry Moss,#8FBC8F,Greens,,Greens,,,,,,AP Exterior,,
7823,Italian Olive,#808000,Decor Suggested Combinations,Decor accents,Greens,"Kitchen, Living Room",Accent Walls,Warm,Medium,Interior,Royale,,
7883,Whipped Cream,#FFFFF0,Decor Suggested Combinations,Decor accents,Whites,All Rooms,Primary Walls,Warm,Light,Interior,Royale,,
7892,Pale Ivory,#FFF8E1,Neutrals,,Beiges,,,,,,AP Exterior,,
7895,Tons of Sun,#FFD93B,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Yellows,Children’s Room,Accent Walls,Warm,Medium,Interior,Royale,,
7896,Sunlit Sand,#FAE7B5,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Yellows,Bedrooms,Primary Walls,Warm,Light,Interior,Royale,,
7906,Eager Yellow,#FFF44F,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Yellows,Children’s Room,Accent Walls,Warm,Light,Interior,Royale,,
7907,Candle Wick,#FFE5B4,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Yellows,Living Room,Accent Walls,Warm,Light,Interior,Royale,,
7919,Burnished Sun,#E97451,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,"Living Room, Dining",Accent Walls,Warm,Medium,Interior,Royale,,
7921,Summer Harvest,#F4A300,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,"Living Room, Dining",Feature Walls,Warm,Medium,Interior,Royale,,
7924,Moon Year,#FFFACD,Neutrals,,Beiges,,,,,,AP Exterior,,
7925,True Ochre,#CC7722,Jewel,,Oranges,,,,,,AP Exterior,,
7927,Casablanca,#F5DEB3,Neutrals,,Beiges,,,,,,AP Exterior,,
7935,Yellow Charm,#FFD700,Jewel,,Yellows,,,,,,AP Exterior,,
7936,Hacienda Clay,#CD853F,Jewel,,Oranges,,,,,,AP Exterior,,
7937,Yellow Iris,#FFD700,Jewel,,Yellows,,,,,,AP Exterior,,
7938,Desert Sun,#FFD700,Jewel,,Yellows,,,,,,AP Exterior,,
7948,Crescent,#F0E68C,Jewel,,Yellows,,,,,,AP Exterior,,
7952,Martian Sky,#FF6347,Jewel,,Reds,,,,,,AP Exterior,,
7954,Dreamsicle,#FFCBA4,Neutrals,,Beiges,,,,,,AP Exterior,,
7960,Mango Shake,#FFCBA4,Neutrals,,Beiges,,,,,,AP Exterior,,
7970,Nacho Cheese,#FFD700,Jewel,,Yellows,,,,,,AP Exterior,,
7975,Roasted Sesame,#C19A6B,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Browns,"Study, Bedroom",Feature Walls,Warm,Medium,Interior,Royale,,
7976,Sunset Cloud,#FF7F50,Jewel,,Oranges,,,,,,AP Exterior,,
7977,Mango Duet,#FFCBA4,Neutrals,,Beiges,,,,,,AP Exterior,,
7978,Orange Frost,#FFA500,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,Accent Walls,"Dining, Kitchen",Warm,Medium,Interior,Royale,,
7979,Apricot Illusion,#FFB347,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,"Living Room, Dining",Accent Walls,Warm,Medium,Interior,Royale,,
7980,Sand Bed,#F4A460,Jewel,,Oranges,,,,,,AP Exterior,,
7983,Canyon Sun,#FF6347,Jewel,,Reds,,,,,,AP Exterior,,
7984,Sun-N-Sand,#FFD39B,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,Living Room,Feature Walls,Warm,Light,Interior,Royale,,
7985,Fossil,#D2B48C,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Browns,"Study, Living Room",Feature Walls,Warm,Medium,Interior,Royale,,
7986,Marigold,#FFD700,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Yellows,"Living Room, Dining",Accent Walls,Warm,Medium,Interior,Royale,,
7996,Cream Tone,#FFFDD0,Decor Suggested Combinations,Decor accents,Whites,Bedrooms,Primary Walls,Warm,Light,Interior,Royale,,
8000,Perfect Peach,#FFCBA4,Neutrals,,Beiges,,,,,,AP Exterior,,
8002,Bashful Beige,#F5DEB3,Neutrals,,Beiges,,,,,,AP Exterior,,
8007,Fawn Dream,#D2B48C,Decor Suggested Combinations,Decor accents,Browns,"Living Room, Bedroom",Accent Walls,Warm,Medium,Interior,Royale,,
8010,Peach Beach,#FFCBA4,Neutrals,,Beiges,,,,,,AP Exterior,,
8027,Touch Of Paprika,#FF6347,Jewel,,Reds,,,,,,AP Exterior,,
8060,Day Lily,#FFD700,Decor Suggested Combinations,Decor accents,Yellows,Living Room,Accent Walls,Warm,Medium,Interior,Royale,,
8089,Ballet Slippers,#FFCCE5,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Pinks,Bedrooms,Accent Walls,Warm,Light,Interior,Royale,,
8090,Garden Pink,#FFB6C1,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Pinks,"Bedrooms, Living Room",Accent Walls,Warm,Light,Interior,Royale,,
8107,Tinge Of Mauve,#DDA0DD,Pastels,,Lavenders,,,,,,AP Exterior,,
8116,Soft Breeze,#FFDAB9,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Oranges,Bedrooms,Primary Walls,Warm,Light,Interior,Royale,,
8132,Pale Blush,#FADADD,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Pinks,Bedrooms,Primary Walls,Warm,Light,Interior,Royale,,
8289,Cold Flint,#696969,Greys,,Dark Greys,,,,,,AP Exterior,,
8292,White Gold,#FDF5E6,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
8299,Ice Age,#F0F8FF,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
8300,Confetti,#FDF5E6,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Neutrals,All Rooms,Accent Walls,Warm,Light,Interior,Royale,,
8307,Quicksilver,#C0C0C0,Whites & Off Whites,,Off-Whites,,,,,,AP Exterior,,
8308,Whispering Smoke,#DCDCDC,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Greys,"Living Room, Bedroom",Accent Walls,Cool,Medium,Interior,Royale,,
8444,Ice Crystal,#E0E0E0,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Greys,"Bathroom, Kitchen",Feature Walls,Cool,Light,Interior,Royale,,
8456,Butter Rum,#DEB887,Neutrals,,Beiges,,,,,,AP Exterior,,
8472,Wild Mushroom,#D2B48C,Decor Suggested Combinations,Decor accents,Browns,Living Room,Feature Walls,Warm,Medium,Interior,Royale,,
8476,Whitener,#F0F0F0,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,All Rooms,Primary Walls,Cool,Light,Interior,Royale,,
8495,Highland Grass,#9ACD32,Greens,,Greens,,,,,,AP Exterior,,
8499,Meadow Lark,#F0E68C,Jewel,,Yellows,,,,,,AP Exterior,,
8512,Almond Sand,#F5DEB3,Decor Suggested Combinations,Decor accents,Beiges,"Living Room, Bedroom",Primary Walls,Warm,Light,Interior,Royale,,
8524,Garlic Pod,#F8F8F0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
8537,Milk Chocolate,#7B3F00,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Browns,"Living Room, Study",Accent Walls,Warm,Dark,Interior,Royale,,
8539,River Reed,#E0E0E0,Whites & Off Whites,,Off-Whites,,,,,,AP Exterior,,
8554,Heritage Hills,#D2B48C,Neutrals,,Beiges,,,,,,AP Exterior,,
8589,Ethnic Brown,#5C4033,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Browns,"Living Room, Study",Accent Walls,Warm,Dark,Interior,Royale,,
8636,Cobbled Path,#E6E6E6,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
8716,Zinnia Bloom,#FF69B4,Purples & Pinks,,Pinks,,,,,,AP Exterior,,
9150,Lucky Sapphire,#0F52BA,Blues,,Blues,,,,,,AP Exterior,,
9209,Water Jet,#00CED1,Blues,,Cyans,,,,,,AP Exterior,,
9210,Soft Blue,#ADD8E6,"Violets, Blues and Greens",Cool | Serene | Refreshing,Blues,"Bedrooms, Bathrooms",Primary Walls,Cool,Light,Interior,Royale,,
9223,Deep Water,#191970,Blues,,Blues,,,,,,AP Exterior,,
9308,Spring Green,#00FF7F,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,"Bedrooms, Living Room",Accent Walls,Cool,Light,Interior,Royale,,
9406,Rose Meadows,#FF9999,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Pinks,Bedrooms,Accent Walls,Warm,Medium,Interior,Royale,,
9407,Fruit Pink,#FF91A4,"Yellows, Oranges and Reds",Warm | Radiant | Cheerful,Pinks,Bedrooms,Accent Walls,Warm,Medium,Interior,Royale,,
9408,Early Bloom,#FFC0CB,Neutrals,,Beiges,,,,,,AP Exterior,,
951,Coral Shell,#FF7F50,Jewel,,Oranges,,,,,,AP Exterior,,
9514,Creamy Crust,#F5DEB3,Neutrals,,Beiges,,,,,,AP Exterior,,
9531A,Soothing Silk,#FFF5EE,Royale Play Luxe Collection,Stucco Marble effect,Neutrals,"Bedrooms, Living Room",Accent Walls,Warm,Light,Interior,Royale,,
9630,Lilac Feather-N,#DDA0DD,"Violets, Blues and Greens",Cool | Serene | Refreshing,Violets,"Bedrooms, Living Room",Accent Walls,Cool,Light,Interior,Royale,,
9645,Stratos-N,#191970,Blues,,Blues,,,,,,AP Exterior,,
9647,Naval Club-N,#000080,Blues,,Blues,,,,,,AP Exterior,,
9656,Gulmarg Winters-N,#E0FFFF,"Violets, Blues and Greens",Cool | Serene | Refreshing,Blues,"Bedrooms, Living Room",Feature Walls,Cool,Light,Interior,Royale,,
9662,Dayflower Blue-N,#6495ED,Blues,,Blues,,,,,,AP Exterior,,
9665,Electric Azure-N,#007FFF,Blues,,Blues,,,,,,AP Exterior,,
9668,Blackwater-N,#2F4F4F,Blues,,Dark Blues,,,,,,AP Exterior,,
9675,Iznik Blue-N,#4169E1,Blues,,Blues,,,,,,AP Exterior,,
972,Tapestry,#8FBC8F,Greens,,Greens,,,,,,AP Exterior,,
9732,Midnight Jade-N,#00A86B,Greens,,Greens,,,,,,AP Exterior,,
974,Basra Pearl-N,#E8E8E8,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,Bedrooms,Primary Walls,Cool,Light,Interior,Royale,,
9774,Lush Treetops-N,#228B22,Greens,,Greens,,,,,,AP Exterior,,
9775,Tulsi-N,#228B22,Greens,,Greens,,,,,,AP Exterior,,
9776,Turtle Cove-N,#2E8B57,Greens,,Greens,,,,,,AP Exterior,,
9812,Parakeet Green-N,#32CD32,Greens,,Greens,,,,,,AP Exterior,,
9821,French Bean-N,#556B2F,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,Accent Walls,"Living Room, Dining",Cool,Dark,Interior,Royale,,
9887,Crème Anglaise-N,#FFFDD0,Decor Suggested Combinations,Decor accents,Whites,All Rooms,Primary Walls,Warm,Light,Interior,Royale,,
9891,Chandan-N,#F5DEB3,Neutrals,,Beiges,,,,,,AP Exterior,,
9893,Hobakjuk Yellow-N,#FFD700,Jewel,,Yellows,,,,,,AP Exterior,,
9897,Afternoon Glow-N,#FF6347,Jewel,,Reds,,,,,,AP Exterior,,
9920,Deccan Earth-N,#CD853F,Jewel,,Oranges,,,,,,AP Exterior,,
997,Radiant White,#FFFFFF,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,All Rooms,Primary Walls,Cool,Light,Interior,Royale,,
BR 8120,Barn Red,#7A1E1E,Jewel,"Barn Red – a deep, rustic red ideal for bold feature walls and heritage-style exteriors",Reds,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Accent Walls, Industrial Applications",Warm,Dark,Both,Essential Colors Collection,Traditional,Excellent Coverage
GM 9304,Grey Mist,#C9CCCD,Greys,Grey Mist – a soft light grey with subtle neutrality; brightens interiors while pairing easily with accent shades,Greys,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Ceilings, Trim",Neutral,Light,Both,Essential Colors Collection,Minimalist,High Coverage
GT 9873,Grey Thunder,#9DA0A3,Greys,"Grey Thunder – a balanced mid-grey that provides depth without overpowering, ideal for modern living areas",Greys,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Feature Walls, Primary Walls",Neutral,Medium,Both,Essential Colors Collection,Modern Classic,Full Coverage
K094,Pearl Grey-N,#DCDCDC,Whites & Off Whites,,Off-Whites,,,,,,AP Exterior,,
K106,Weathered Rock-N,#708090,Blues,,Blues,,,,,,AP Exterior,,
K122,Seagull Bay-N,#B0C4DE,Blues,,Blues,,,,,,AP Exterior,,
L103,Pearl Star,#F0F0E8,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L104,Cotton Wool,#F8F8F0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L116,Menthol,#98FF98,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,"Bedrooms, Bathroom",Accent Walls,Cool,Light,Interior,Royale,,
L124,Pure Ivory,#FFFFF0,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,"Bedrooms, Living Rooms",Primary Walls,Warm,Light,Interior,Royale,,
L126,Sugared Nut,#D2B48C,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Browns,"Living Room, Bedroom",Accent Walls,Warm,Medium,Interior,Royale,,
L127,Sesame Seed,#F5F5DC,Neutrals,,Beiges,,,,,,AP Exterior,,
L129,Cold Coffee,#F5F0E8,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L133,Arabian Sand,#F5DEB3,Neutrals,,Beiges,,,,,,AP Exterior,,
L136,Pebble White,#F5F5DC,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Neutrals,All Rooms,Primary Walls,Warm,Light,Interior,Royale,,
L140,Crushed Ice,#F0F8FF,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L143,Rain Drop,#F5F5F5,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L146,Sonnet,#EEE8AA,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Yellows,Bedrooms,Accent Walls,Warm,Light,Interior,Royale,,
L152,Cream Pie,#FFF8E7,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L156,Almost Ivory,#FFF8E7,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L157,White Canvas,#FFFAF0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L164,White Butter,#FFFACD,Neutrals,,Beiges,,,,,,AP Exterior,,
L165,Indian Cotton,#FFF8F0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L166,Sour Cream,#FFF8DC,Neutrals,,Beiges,,,,,,AP Exterior,,
L169,Spotless,#FFFFFF,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L171,White Silk,#F5F5F5,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,All Rooms,Primary Walls,Cool,Light,Interior,Royale,,
L176,White Bush,#F5F5F5,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L180,Innocent White,#FFF8F0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
L189,Light Butter-N,#FFFACD,Neutrals,,Beiges,,,,,,AP Exterior,,
L190,Dawn Dew-N,#F5F5F0,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Whites,"Bedrooms, Living Rooms",Primary Walls,Warm,Light,Interior,Royale,,
LL 9037,Lilac,#C9BDC7,Pastels,Lilac – a romantic pale violet with soft charm; excellent for serene and youthful spaces,Purples,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Bedrooms, Accent Walls",Cool,Light,Interior,Essential Colors Collection,Romantic,Complete Coverage
LN 3788,Linen,#D3CABB,Neutrals,Linen – a warm beige off-white offering timeless neutrality; pairs seamlessly with wood and stone,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Ceilings, Trim",Warm,Light,Both,Essential Colors Collection,Transitional,High Coverage
LV 8498,Lavender,#D4C8CD,Pastels,"Lavender – a delicate pastel purple that brings calm and sophistication, best for bedrooms or boutique spaces",Purples,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Bedrooms, Accent Walls",Cool,Light,Interior,Essential Colors Collection,Calming,High Coverage
M011,Dune Medallion,#FFD700,Royale Play Luxe Collection,Dune Halo,Yellows,Living Room,Accent Walls,Warm,Medium,Interior,Royale,,
M8299,Antico Ice Age,#C0C0C0,Royale Play Luxe Collection,Antico Classique,Metallics,Living Room,Accent Walls,Cool,Medium,Interior,Royale,,
OA53,Brilliant White,#FFFFFF,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
PP 7768,Purple,#776A8C,Purples & Pinks,Purple – a rich mid-tone purple with sophistication; perfect for statement walls and retail accents,Purples,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Cool,Medium,Interior,Essential Colors Collection,Classic,Full Coverage
RAL 1000,Green Beige,#CDBA88,Earthy,Green Beige – sandy beige with warm undertones; versatile and natural for subtle interiors,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Feature Walls",Warm,Light,Interior,RAL Standard Collection,Earthy,High Coverage
RAL 1001,Beige,#D0B084,Earthy,Beige – classic warm beige offering soft neutrality; reliable for whole-home use,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Ceilings, Trim",Warm,Light,Interior,RAL Standard Collection,Classic,High Coverage
RAL 1002,Sand Yellow,#D2AA6D,Earthy,Sand Yellow – a golden beige that adds warmth and vibrancy without overwhelming,Oranges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Kids Room","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Soft,Full Coverage
RAL 1003,Signal Yellow,#F9A800,Jewel,Signal Yellow – a bold vibrant yellow designed for energy and high visibility,Yellows,"Kitchen, Dining Room, Kids Room, Retail, Hospitality, Exterior","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1004,Golden Yellow,#E49E00,Jewel,Golden Yellow – a glowing sunshine tone for striking interiors and commercial highlights,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1005,Honey Yellow,#CB8E00,Jewel,Honey Yellow – a deep golden yellow with warmth and character,Yellows,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1006,Maize Yellow,#E29000,Jewel,Maize Yellow – a warm earthy yellow reminiscent of ripe corn; bright yet grounded,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1007,Chrome Yellow,#E88C00,Jewel,"Chrome Yellow – an intense warm yellow-orange, excellent for strong highlights",Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1011,Brown Beige,#AF804F,Earthy,Brown Beige – a warm brown-beige that grounds interiors with cozy richness,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Cozy,Full Coverage
